T35,Net disbursements of official development assistance from donors,,,,,
682,Saudi Arabia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),859,"Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
682,Saudi Arabia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,069","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
682,Saudi Arabia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,957","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
682,Saudi Arabia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,245","Estimate.;Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),57,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),85,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),116,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),141,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),151,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
703,Slovakia,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.16,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),35,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),59,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),63,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),88,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),91,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),115,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.28,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
705,Slovenia,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.15,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),169,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,348",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,018",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,949",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,397",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,709",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,739",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,252",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.61,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.84,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.96,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
724,Spain,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.08,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),566,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),840,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,704",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,362",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,533",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,089",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,205",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,348",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,927",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.04,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.45,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.00,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.99,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.30,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
752,Sweden,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.91,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),104,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),303,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,084",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,772",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,300",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,529",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,095",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,721",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,926",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.58,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.93,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),4.01,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.94,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.57,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
756,Switzerland,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.45,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
764,Thailand,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
764,Thailand,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),62,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
764,Thailand,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),144,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
764,Thailand,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),71,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
626,Timor-Leste,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),107,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),601,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),967,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,919","Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"8,667","Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"8,124","Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,643","Estimate.;Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.29,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
792,Türkiye,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,998","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),366,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),243,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),510,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),414,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,381","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,490","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,772","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
784,United Arab Emirates,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,301","Estimate.;Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),904,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,530",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,202",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,772",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,053",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"18,553",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"19,354",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"19,253",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"16,379",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.70,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.69,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
826,United Kingdom,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.69,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
840,United States of America,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,161",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
